P1:1:1:1:1:0|tick=0|duration=3840|staff=1|voice=1|pitch=C4:alter=1.000:acc=sharp|rhythm=quarter:dots=0:ratio=-|stem=unspecified|beams=-|ties=tie:start,tied:start|slurs=start|tuplets=-|articulations=accent|arpeggio=-|fingers=1
P1:3:3:1:1:1|tick=34560|duration=3840|staff=1|voice=1|pitch=F4:alter=0.000:acc=natural|rhythm=quarter:dots=0:ratio=-|stem=unspecified|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:3:3:1:1:2|tick=38400|duration=3840|staff=1|voice=1|pitch=F4:alter=0.000:acc=-|rhythm=quarter:dots=0:ratio=-|stem=unspecified|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:3:3:2:2:3|tick=30720|duration=11520|staff=2|voice=2|pitch=rest|rhythm=half:dots=1:ratio=-|stem=unspecified|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:1:1:0|tick=42240|duration=960|staff=1|voice=1|pitch=C5:alter=0.000:acc=-|rhythm=16th:dots=0:ratio=-|stem=unspecified|beams=1:begin,2:begin|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:1:1:1|tick=43200|duration=960|staff=1|voice=1|pitch=D5:alter=0.000:acc=-|rhythm=16th:dots=0:ratio=-|stem=unspecified|beams=1:continue,2:continue|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:1:2|tick=44160|duration=960|staff=2|voice=1|pitch=E5:alter=0.000:acc=-|rhythm=16th:dots=0:ratio=-|stem=unspecified|beams=1:continue,2:continue|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:1:1:3|tick=45120|duration=960|staff=1|voice=1|pitch=F5:alter=1.000:acc=-|rhythm=16th:dots=0:ratio=-|stem=unspecified|beams=1:end,2:end|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:1:1:4|tick=46080|duration=960|staff=1|voice=1|pitch=G5:alter=0.000:acc=-|rhythm=16th:dots=0:ratio=-|stem=unspecified|beams=1:begin,2:begin|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:1:1:5|tick=47040|duration=960|staff=1|voice=1|pitch=A5:alter=0.000:acc=-|rhythm=16th:dots=0:ratio=-|stem=unspecified|beams=1:continue,2:continue|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:1:1:6|tick=48000|duration=960|staff=1|voice=1|pitch=B5:alter=0.000:acc=-|rhythm=16th:dots=0:ratio=-|stem=unspecified|beams=1:continue,2:continue|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:1:1:7|tick=48960|duration=960|staff=1|voice=1|pitch=C6:alter=0.000:acc=-|rhythm=16th:dots=0:ratio=-|stem=unspecified|beams=1:end,2:end|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:1:1:8|tick=49920|duration=1280|staff=1|voice=1|pitch=D5:alter=0.000:acc=-|rhythm=eighth:dots=0:ratio=3:2|stem=unspecified|beams=1:begin|ties=-|slurs=-|tuplets=start|articulations=-|arpeggio=-|fingers=-
P1:4:4:1:1:9|tick=51200|duration=1280|staff=1|voice=1|pitch=E5:alter=0.000:acc=-|rhythm=eighth:dots=0:ratio=3:2|stem=unspecified|beams=1:continue|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:1:1:10|tick=52480|duration=1280|staff=1|voice=1|pitch=F5:alter=1.000:acc=-|rhythm=eighth:dots=0:ratio=3:2|stem=unspecified|beams=1:end|ties=-|slurs=-|tuplets=stop|articulations=-|arpeggio=-|fingers=-
P1:4:4:1:1:11|tick=53760|duration=3840|staff=1|voice=1|pitch=rest|rhythm=quarter:dots=0:ratio=-|stem=unspecified|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:2:12|tick=42240|duration=480|staff=2|voice=2|pitch=C3:alter=0.000:acc=-|rhythm=32nd:dots=0:ratio=-|stem=unspecified|beams=1:begin,2:begin,3:begin|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:2:13|tick=42720|duration=480|staff=2|voice=2|pitch=D3:alter=0.000:acc=-|rhythm=32nd:dots=0:ratio=-|stem=unspecified|beams=1:continue,2:continue,3:continue|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:2:14|tick=43200|duration=480|staff=2|voice=2|pitch=E3:alter=0.000:acc=-|rhythm=32nd:dots=0:ratio=-|stem=unspecified|beams=1:continue,2:continue,3:continue|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:2:15|tick=43680|duration=480|staff=2|voice=2|pitch=F3:alter=1.000:acc=-|rhythm=32nd:dots=0:ratio=-|stem=unspecified|beams=1:continue,2:continue,3:continue|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:2:16|tick=44160|duration=480|staff=2|voice=2|pitch=G3:alter=0.000:acc=-|rhythm=32nd:dots=0:ratio=-|stem=unspecified|beams=1:continue,2:continue,3:continue|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:2:17|tick=44640|duration=480|staff=2|voice=2|pitch=A3:alter=0.000:acc=-|rhythm=32nd:dots=0:ratio=-|stem=unspecified|beams=1:continue,2:continue,3:continue|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:2:18|tick=45120|duration=480|staff=2|voice=2|pitch=B3:alter=0.000:acc=-|rhythm=32nd:dots=0:ratio=-|stem=unspecified|beams=1:continue,2:continue,3:continue|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:2:19|tick=45600|duration=480|staff=2|voice=2|pitch=C4:alter=0.000:acc=-|rhythm=32nd:dots=0:ratio=-|stem=unspecified|beams=1:end,2:end,3:end|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:2:20|tick=46080|duration=480|staff=2|voice=2|pitch=rest|rhythm=32nd:dots=0:ratio=-|stem=unspecified|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:2:21|tick=46560|duration=480|staff=2|voice=2|pitch=rest|rhythm=32nd:dots=0:ratio=-|stem=unspecified|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:2:22|tick=47040|duration=960|staff=2|voice=2|pitch=rest|rhythm=16th:dots=0:ratio=-|stem=unspecified|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:2:23|tick=48000|duration=1920|staff=2|voice=2|pitch=rest|rhythm=eighth:dots=0:ratio=-|stem=unspecified|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
P1:4:4:2:2:24|tick=49920|duration=7680|staff=2|voice=2|pitch=rest|rhythm=half:dots=0:ratio=-|stem=unspecified|beams=-|ties=-|slurs=-|tuplets=-|articulations=-|arpeggio=-|fingers=-
